id,topic,difficulty,questionText,codeSnippet,optionA,optionB,optionC,optionD,correctOption,explanation
java-quiz-t1-1,Multithreading & Concurrency,hard,"A ThreadPoolExecutor is initialized with corePoolSize = 3, maximumPoolSize = 6, keepAliveTime = 60s, and a workQueue capacity of 7. If you submit 12 tasks concurrently with no delay, what is the state of the pool?","ThreadPoolExecutor executor = new ThreadPoolExecutor(
    3, 6, 60, TimeUnit.SECONDS,
    new ArrayBlockingQueue<>(7)
);
for (int i = 0; i < 12; i++) {
    executor.submit(() -> {
        try { Thread.sleep(10000); } catch (InterruptedException e) {}
    });
}","3 active threads running tasks, with 9 tasks in the queue.","6 active threads running tasks, with 6 tasks in the queue.",The task execution throws a RejectedExecutionException immediately.,"5 active threads running tasks, with 7 tasks waiting in the queue.",D,"ThreadPoolExecutor rules: 1) First 3 tasks spawn 3 core threads. 2) Next 7 tasks fill the queue. 3) Remaining tasks spawn threads up to max (6). Since total tasks (12) fit within capacity, the pool spawns 2 extra threads, resulting in 5 active threads and 7 queued tasks."
java-quiz-t2-1,Collections & Internals,hard,"You insert 5 distinct instances of class CustomKey_1 into a standard HashMap. Class CustomKey_1 overrides hashCode() to return constant 110, but does not override equals(). What happens when you retrieve the key with id = 2?","public class CustomKey_1 {
    private int id;
    public CustomKey_1(int id) { this.id = id; }
    @Override
    public int hashCode() { return 110; }
}
Map<CustomKey_1, String> map = new HashMap<>();
CustomKey_1 searchKey = null;
for (int k = 1; k <= 5; k++) {
    CustomKey_1 key = new CustomKey_1(k);
    if (k == 2) searchKey = key;
    map.put(key, ""Val_"" + k);
}
String result = map.get(searchKey);",The retrieval returns null because equals() is not implemented.,The HashMap throws a NullPointerException because the hash value is constant.,The retrieval returns the value of the last inserted element in the bucket.,"The retrieval succeeds and returns ""Val_2"" because object reference identity (==) is checked and succeeds on the exact same key reference.",D,"HashMap's get() method checks: if (e.hash == hash && ((k = e.key) == key || (key != null && key.equals(k)))). Since the exact same reference searchKey is passed, the (k == key) identity comparison succeeds immediately, bypassing equals() checks."
java-quiz-t3-1,Generics,medium,"According to the Producer-Extends, Consumer-Super (PECS) rule, which operations are compile-time valid inside the process method below parameterized with Integer?","public static void process(List<? extends Integer> src, List<? super Integer> dest) {
    // Operation A: Integer val = src.get(0);
    // Operation B: src.add(10);
    // Operation C: dest.add(10);
}",Operations A and C are valid; Operation B is a compile error.,Operations B and C are valid; Operation A is a compile error.,All operations are compile-time valid.,Operations A and B are valid; Operation C is a compile error.,A,"Under PECS: List<? extends Integer> is a Producer, so reading from it as Integer (A) is valid, but writing to it is banned (B). List<? super Integer> is a Consumer, so adding Integer objects (C) to it is valid."
java-quiz-t4-1,Multithreading & Concurrency,medium,"Two threads T1 and T2 run concurrently. Thread T1 sleeps for 850ms. Thread T2 sleeps for 640ms. If the main thread calls T1.join(310) followed immediately by T2.join(), what is the approximate wait duration?","Thread t1 = new Thread(() -> {
    try { Thread.sleep(850); } catch (InterruptedException e) {}
});
Thread t2 = new Thread(() -> {
    try { Thread.sleep(640); } catch (InterruptedException e) {}
});
t1.start(); t2.start();
t1.join(310);
t2.join();","Approximately 1490ms, as both join calls execute fully sequentially.","Approximately 850ms, since T1 takes the longest to complete.","Approximately 640ms, because the main thread waits for the 310ms timeout on T1, then blocks for the remainder of T2's sleep.","Approximately 310ms, as both threads are forced to interrupt.",C,"The main thread blocks on t1.join(310) for 310ms. During this time, T2 has also slept for 310ms, leaving 330ms of sleep. When t2.join() is called, the main thread blocks for the remaining 330ms. Total wait = 310 + 330 = 640ms."
java-quiz-t5-1,Collections & Lists,easy,"An ArrayList is initialized with an initial capacity of 10. If you add 11 elements sequentially, what is the internal array capacity immediately after the expansion?","List<Integer> list = new ArrayList<>(10);
for (int j = 0; j < 11; j++) {
    list.add(j);
}",15 (capacity grows by 50% using the formula: oldCapacity + (oldCapacity >> 1)),20 (capacity doubles when full),20 (capacity grows by a fixed step of 10),11 (capacity grows to fit exactly the inserted elements),A,"In JDK ArrayList, capacity expansion is calculated using the formula: newCapacity = oldCapacity + (oldCapacity >> 1), which grows the array size by approximately 50%. Starting with 10, the new capacity is 10 + 5 = 15."
java-quiz-t6-1,Strings & String Pool,medium,"How many objects are created in memory when the statement below executes, assuming ""poolStr_1"" is NOT already present in the String Constant Pool?","String s = new String(""poolStr_1"");",Two objects: one literal in the String Constant Pool and one new String object on the heap.,One object: on the heap only.,One object: in the String Constant Pool only.,Zero objects: it only creates a stack reference.,A,"This statement creates two objects: the literal string ""poolStr_1"" is stored in the String Constant Pool (if not already present), and a new String object is created on the heap, wrapping the character array reference from the pool."
java-quiz-t7-1,Optional API,medium,"In the code snippet below under normal execution, how many times is the method 'fetchDb_1' evaluated?","public String getData() {
    return Optional.of(""val_1"")
                   .orElse(fetchDb_1());
}
public String fetchDb_1() {
    System.out.println(""DB accessed"");
    return ""default"";
}","0 times, because the Optional contains a non-null value and orElse() is evaluated lazily.","2 times, once for checking and once for returning.","Exactly 1 time, because the argument to orElse() is evaluated eagerly even if the Optional contains a value.",It throws a NullPointerException at runtime.,C,"In Java, orElse(T other) evaluates its argument eagerly. Since 'fetchDb_1()' is passed directly as a parameter, the method is invoked and evaluated before orElse() resolves, even if the Optional is not empty. Use orElseGet(Supplier) for lazy evaluation."
java-quiz-t8-1,Multithreading & Concurrency,hard,You submit a parallel stream task inside a custom ForkJoinPool configured with parallelism = 3 on a machine with 2 CPU cores. What is the maximum number of threads that can process the stream concurrently?,"ForkJoinPool customPool = new ForkJoinPool(3);
customPool.submit(() -> {
    IntStream.range(0, 100).parallel().forEach(x -> {
        // Intensive work
    });
}).get();","Only 2 threads, matching the physical CPU cores.",Up to 3 concurrent threads inside the custom ForkJoinPool.,"Up to 1 threads, as the common pool always reserves one core.","1 thread, because parallel streams ignore custom ForkJoinPool configurations.",B,"Parallel streams execute inside the ForkJoinPool of the thread that initiated them. If submitted inside a custom ForkJoinPool, the stream will use that pool's worker threads (up to its parallelism level of 3), overriding the default CommonPool behavior."
java-quiz-t9-1,Memory Management & GC,medium,"A WeakHashMap is populated as shown below. If you set 'keyData_1' to null and trigger GC, what happens to the map size?","Map<Object, String> map = new WeakHashMap<>();
Object keyData_1 = new Object();
map.put(keyData_1, ""ActiveSession"");

keyData_1 = null;
System.gc();",The map size remains 1 because the value 'ActiveSession' retains a strong reference to the map entry.,The map throws a NullPointerException during garbage collection.,"The map size becomes 0 because WeakHashMap references keys weakly, allowing GC to collect the key and automatically clean up the entry.",The key is collected but map.size() still returns 1 until a get() call is made.,C,"WeakHashMap uses WeakReference wrapper classes for its keys. Once the strong reference 'keyData_1' is set to null, the key becomes eligible for GC. After GC sweeps the key, WeakHashMap cleans up the corresponding entry from its table."
java-quiz-t10-1,Multithreading & Concurrency,hard,Predict the output printed to the console when the CompletableFuture pipeline executes.,"CompletableFuture.supplyAsync(() -> {
    if (true) throw new RuntimeException(""err_1"");
    return ""Normal"";
})
.handle((res, ex) -> {
    return ex != null ? ""fallback_1"" : res;
})
.exceptionally(ex -> {
    return ""Secondary_Fallback"";
})
.thenAccept(System.out::print);","""Secondary_Fallback""","""err_1""","""fallback_1""","""NormalSecondary_Fallback""",C,"The supplyAsync stage throws a RuntimeException containing ""err_1"". The handle() block captures this exception (ex is non-null) and returns ""fallback_1"", completing the stage normally. The downstream exceptionally() stage is skipped because no exception remains in the pipeline."
