id,topic,difficulty,questionText,codeSnippet,optionA,optionB,optionC,optionD,correctOption,explanation
java-oca-0001,Java Building Blocks,medium,What is the result of attempting to compile and run the following class?,"1: public class _C {
2:   private static int $;
3:   public static void main(String[] main) {
4:     String a_b;
5:     System.out.print($);
6:     System.out.print(a_b);
7:   }
8: }",Outputs 0null,Compiler error on line 1 and line 2,Compiler error on line 6,Compiler error on line 4,C,"Option C is correct because local variables (such as a_b on line 4) do not get default values and must be explicitly assigned before being referenced. Since a_b is read on line 6 without initialization, line 6 fails compilation. Line 1 and 2 are completely legal because Java identifiers can begin with an underscore (_) or a dollar sign ($). Static and instance variables like $ get default values (0 for int)."
java-oca-0002,Core Java APIs,medium,What is the result of the following code snippet?,"String s1 = ""Java"";
String s2 = ""Java"";
StringBuilder sb1 = new StringBuilder();
sb1.append(""Ja"").append(""va"");
System.out.println(s1 == s2);
System.out.println(s1.equals(s2));
System.out.println(sb1.toString() == s1);
System.out.println(sb1.toString().equals(s1));",true is printed out exactly once,true is printed out exactly twice,true is printed out exactly three times,true is printed out exactly four times,C,"String literals s1 and s2 both point to the same string in the string pool, so s1 == s2 and s1.equals(s2) are both true (2 times). sb1.toString() creates a new String object at runtime on the heap, so sb1.toString() == s1 is false. However, sb1.toString().equals(s1) checks logical character sequence equality, which evaluates to true. Therefore, true is printed out exactly 3 times."
java-oca-0003,Class Design,hard,What happens when attempting to compile and run the following code?,"1: interface HasTail { int getTailLength(); }
2: abstract class Puma implements HasTail {
3:   protected int getTailLength() { return 4; }
4: }
5: public class Cougar extends Puma {
6:   public static void main(String[] args) {
7:     Puma puma = new Puma();
8:     System.out.println(puma.getTailLength());
9:   }
10:  public int getTailLength(int length) { return 2; }
11: }",It compiles and outputs 4,It compiles and outputs 2,Compilation fails due to multiple errors: invalid method override on line 3 and attempting to instantiate an abstract class on line 7,Compilation fails only because getTailLength(int length) on line 10 does not match the interface signature,C,"First, all interface methods are implicitly public. On line 3, Puma attempts to implement getTailLength() with protected access, which reduces visibility and causes a compiler error. Second, on line 7, Puma is an abstract class and cannot be instantiated with 'new Puma()'. Line 10 is merely an overload (different parameter list), not an override."
java-oca-0004,Operators and Statements,medium,What is the output of the following program?,"public class FeedingSchedule {
  public static void main(String[] args) {
    boolean keepGoing = true;
    int count = 0;
    int x = 3;
    while(count++ < 3) {
      int y = (1 + 2 * count) % 3;
      switch(y) {
        default:
        case 0: x -= 1; break;
        case 1: x += 5;
      }
    }
    System.out.println(x);
  }
}",4,5,6,7,C,"Let's trace iteration by iteration: Iteration 1: count was 0, count++ < 3 is true, count becomes 1. y = (1 + 2*1) % 3 = 3 % 3 = 0. Hits case 0: x = 3 - 1 = 2 (break). Iteration 2: count is 1, count++ < 3 is true, count becomes 2. y = (1 + 2*2) % 3 = 5 % 3 = 2. Hits default: falls through to case 0 because no break on default: x = 2 - 1 = 1 (break). Iteration 3: count is 2, count++ < 3 is true, count becomes 3. y = (1 + 2*3) % 3 = 7 % 3 = 1. Hits case 1: x = 1 + 5 = 6. Iteration 4: count is 3, 3 < 3 is false, loop terminates. Final x is 6."
java-oca-0005,Exceptions,easy,What is the output of the following code snippet?,"System.out.print(""a"");
try {
  System.out.print(""b"");
  throw new IllegalArgumentException();
} catch (RuntimeException e) {
  System.out.print(""c"");
} finally {
  System.out.print(""d"");
}
System.out.print(""e"");",abce,abde,abcde,Compilation error,C,"Prints 'a', enters try, prints 'b', throws IllegalArgumentException. Since IllegalArgumentException extends RuntimeException, the catch block catches it and prints 'c'. Then the finally block runs unconditionally and prints 'd'. Execution resumes normally after try-catch-finally, printing 'e'. Result is 'abcde'."
java-oca-0006,Methods and Encapsulation,easy,What is the result of the following program?,"public class MathFunctions {
  public static void addToInt(int x, int amountToAdd) {
    x = x + amountToAdd;
  }
  public static void main(String[] args) {
    int a = 15;
    int b = 10;
    MathFunctions.addToInt(a, b);
    System.out.println(a);
  }
}",10,15,25,Compiler error,B,"Java is strictly pass-by-value. When 'a' is passed into addToInt(int x, int amountToAdd), a copy of its primitive value 15 is passed into parameter x. Reassigning x inside addToInt has zero effect on the caller variable 'a'. Therefore, 'a' remains 15."
java-oca-0007,Core Java APIs,medium,What is the result of the following code?,"int[] array = {6, 9, 8};
List<Integer> list = new ArrayList<>();
list.add(array[0]);
list.add(array[2]);
list.set(1, array[1]);
list.remove(0);
System.out.println(list);",[8],[9],"[6, 9]",IndexOutOfBoundsException is thrown,B,"Initial array is {6, 9, 8}. list.add(6) -> [6]. list.add(8) -> [6, 8]. list.set(1, 9) replaces element at index 1 with 9 -> [6, 9]. list.remove(0) removes the element at index 0 (value 6) -> leaving [9]. Printing list outputs [9]."
java-oca-0008,Class Design,hard,What is the output of the following code?,"public class Deer {
  public Deer() { System.out.print(""Deer""); }
  public Deer(int age) { System.out.print(""DeerAge""); }
  private boolean hasHorns() { return false; }
  public static void main(String[] args) {
    Deer deer = new Reindeer(5);
    System.out.println("","" + deer.hasHorns());
  }
}
class Reindeer extends Deer {
  public Reindeer(int age) { System.out.print(""Reindeer""); }
  public boolean hasHorns() { return true; }
}","DeerReindeer,false","DeerReindeer,true","DeerAgeReindeer,false","DeerAgeReindeer,true",A,"When new Reindeer(5) is executed, Reindeer(int age) does not explicitly invoke a parent constructor, so the compiler automatically inserts super() on line 1. Deer() runs first, printing 'Deer', then Reindeer's constructor prints 'Reindeer'. Next, hasHorns() in Deer is declared private. Private methods cannot be overridden, only hidden. Because the reference variable 'deer' has compile-time type Deer, deer.hasHorns() calls Deer's private method, which returns false. Output is 'DeerReindeer,false'."
java-oca-0009,Exceptions,easy,"Which of the following statements correctly distinguishes checked exceptions, runtime exceptions, and Errors in Java?",,Checked exceptions are required to be handled or declared; Errors and RuntimeExceptions are unchecked and do not require handling or declaration.,"Runtime exceptions are required to be caught or declared, whereas Checked exceptions are optional.",Errors are checked exceptions that must be handled by application code.,Only Exception subclasses that extend RuntimeException are required to be declared in throws clauses.,A,"In Java, checked exceptions (subclasses of Exception excluding RuntimeException) are subject to the handle-or-declare rule. RuntimeException and its subclasses, as well as Error and its subclasses, are unchecked and are not required to be handled or declared."
java-oca-0010,Java Building Blocks,medium,"Consider the following code. Immediately after line 6 executes, which grasshopper objects are eligible for garbage collection?","1: public class Grasshopper {
2:   public Grasshopper(String n) { name = n; }
3:   public static void main(String[] args) {
4:     Grasshopper one = new Grasshopper(""g1"");
5:     Grasshopper two = new Grasshopper(""g2"");
6:     one = two;
7:     two = null;
8:     one = null;
9:   }
10:  private String name;
11: }",Neither object is eligible for garbage collection,Only the g1 object is eligible for garbage collection,Only the g2 object is eligible for garbage collection,Both g1 and g2 objects are eligible for garbage collection,B,"On line 4, 'one' points to g1. On line 5, 'two' points to g2. On line 6, 'one' is reassigned to point to g2. At this exact point, no reference points to the g1 object anymore, making only g1 eligible for garbage collection."
