ID,Topic,Category,Difficulty,Doc Link,What It Is,When To Use,Pros,Cons,How To Use Properly,Code Example,Key Takeaway
"card-java-00001","Virtual Threads (Project Loom)","Java Core & Concurrency","Senior","/technical-knowledge/java/java-virtual-threads","Lightweight, user-mode threads managed by the JVM rather than the OS kernel. They decouple Java thread instances from 1:1 OS carrier threads, allowing millions of concurrent tasks to execute on a tiny pool of ForkJoin carrier threads with zero blocking overhead.","High-concurrency I/O-bound workloads (HTTP microservices, database querying, socket streaming, outbound REST/gRPC calls).","Near-infinite concurrency scaling for I/O | Preserves intuitive synchronous imperative code style without reactive callback hell | Seamlessly integrates with existing java.lang.Thread and ThreadLocal APIs","Pinning hazard when synchronizing on monitor locks (`synchronized`) or native JNI calls | Zero performance benefit for CPU-intensive mathematical compute tasks","Use `Executors.newVirtualThreadPerTaskExecutor()`. Replace legacy `synchronized` blocks with `ReentrantLock` to prevent carrier thread pinning. Avoid pooling virtual threads—simply instantiate one per task.","try (var executor = Executors.newVirtualThreadPerTaskExecutor()) {
    IntStream.range(0, 10_000).forEach(i -> executor.submit(() -> {
        var res = httpClient.send(req, HttpResponse.BodyHandlers.ofString());
        return res.body();
    }));
}","Virtual threads convert blocking I/O into cheap unpark operations on ForkJoin carriers. Never pool virtual threads; spawn them per task and use ReentrantLock instead of synchronized."
"card-java-00002","CAS (Compare-And-Swap) & Lock-Free Atomic Primitives","Java Core & Concurrency","Staff","/technical-knowledge/java/java-locks","An atomic hardware instruction (e.g. `CMPXCHG` on x86) that compares a memory location against an expected value, and if identical, modifies it to a new value in a single atomic CPU cycle without operating system mutex kernel transitions.","Ultra-low-latency concurrency primitives, high-throughput counters, atomic reference updates, and non-blocking data structure state machines (e.g. AtomicInteger, ConcurrentLinkedQueue).","Zero kernel-level context switching or thread suspension | Immune to thread priority inversions and deadlock hazards | Maximal throughput under low-to-moderate lock contention","High CPU spin overhead under extreme contention (cache line bouncing) | Vulnerable to the ABA problem unless versioned with AtomicStampedReference","Use `AtomicReference` or `VarHandle`. Pair with exponential backoff or LongAdder for high-frequency multi-threaded counter increments to distribute contention across cache lines.","public class LockFreeStack<T> {
    private final AtomicReference<Node<T>> head = new AtomicReference<>();
    public void push(T val) {
        Node<T> newHead = new Node<>(val);
        do {
            newHead.next = head.get();
        } while (!head.compareAndSet(newHead.next, newHead));
    }
}","CAS replaces heavy kernel mutexes with CPU-level atomic compare-and-exchange. For extreme write contention, prefer LongAdder cell striping over a single AtomicLong."
"card-java-00003","ConcurrentHashMap Lock Striping & Treeification","Java Core & Concurrency","Senior","/technical-knowledge/interview-questions/java/concurrent-collection-interview","A thread-safe hash map implementation in Java 8+ that eliminates table-wide locks. It uses CAS for empty bin initialization and synchronized locking only on individual bin head nodes, dynamically transforming linked lists into Red-Black Trees (TreeBins) when bucket collisions exceed 8.","High-throughput concurrent caching, session token stores, in-memory index registries, and multi-threaded shared lookup tables.","Concurrent non-blocking reads (`get()` requires zero locks via volatile node pointers) | Granular per-bucket write locks minimize thread contention | O(log N) worst-case search time when buckets are treeified","Does not permit null keys or null values to prevent ambiguous get() vs missing key race conditions | Aggregate operations (`size()`, `mappingCount()`) provide weakly consistent estimates","Use `computeIfAbsent()` and `merge()` for atomic compound updates instead of separate `containsKey()` and `put()` calls. Never store null keys or values.","ConcurrentMap<String, AtomicLong> wordCounts = new ConcurrentHashMap<>();
wordCounts.computeIfAbsent(""kafka"", k -> new AtomicLong()).incrementAndGet();","ConcurrentHashMap uses CAS on empty slots + synchronizing head nodes + TreeBins at 8 collisions. Always use atomic compute() APIs rather than check-then-act anti-patterns."
"card-java-00004","Java Memory Model (JMM) Happens-Before & Volatile Semantics","Java Core & Concurrency","Staff","/technical-knowledge/java/java-jmm-memory-model","The formal specification defining when memory writes by one thread become visible to reads by another. `volatile` guarantees variable read/write visibility across CPU caches and prevents instruction reordering via CPU memory fences (LoadLoad, StoreStore, StoreLoad).","State flags, status tickers, shutdown signals, and Double-Checked Locking singleton instances.","Guarantees cross-core CPU cache coherency visibility | Prevents compiler and Out-of-Order CPU execution reordering | Much cheaper than mutex acquisition for single field reads/writes","Does NOT guarantee atomicity for compound operations (e.g. `count++` requires read-modify-write) | Forces StoreLoad fences which flush store buffers to main memory","Use `volatile` for one-way status flags or pair with Double-Checked Locking. For compound increments, use `AtomicInteger` or `VarHandle`.","private static volatile Instance instance;
public static Instance getInstance() {
    if (instance == null) {
        synchronized (Holder.class) {
            if (instance == null) instance = new Instance();
        }
    }
    return instance;
}","Volatile guarantees visibility and prevents instruction reordering via CPU memory barriers, but does not provide mutual exclusion for compound operations."
"card-java-00005","Generational Garbage Collection & G1 GC vs ZGC","Java Core & Concurrency","Senior","/technical-knowledge/java/java-gc","JVM memory management based on the Weak Generational Hypothesis: most objects die shortly after allocation. G1 GC divides heap into equal regions prioritizing regions with the most garbage, while ZGC uses colored pointers and load barriers to achieve sub-millisecond concurrent GC pauses regardless of heap size.","Low-latency production applications, high-throughput microservices, and large-heap (16GB - 16TB) distributed engines.","ZGC guarantees max pause times < 1ms across multi-terabyte heaps | G1 GC allows setting predictable latency targets (`-XX:MaxGCPauseMillis=200`) | Eliminates stop-the-world allocation stalls","ZGC incurs a minor 2-5% throughput overhead due to read load barrier checks on object references | G1 GC can still experience Full GC pauses if promotion rates exceed concurrent marking capacity","On Java 21+, enable Generational ZGC (`-XX:+UseZGC -XX:+ZGenerational`) for ultra-low latency SLAs. For throughput-oriented batch pipelines, use Parallel GC or tuned G1 GC.","# JVM Flag for Sub-Millisecond Latency:
java -XX:+UseZGC -XX:+ZGenerational -Xms16g -Xmx16g -jar service.jar","Generational ZGC uses colored pointers and read load barriers to achieve sub-1ms pauses even on massive multi-terabyte heaps."
"card-java-00006","ThreadLocal & Memory Leak Mitigation","Java Core & Concurrency","Mid","/technical-knowledge/java/java-threads","Provides thread-confined state where each thread accesses its own independently initialized copy of a variable via a `ThreadLocalMap` stored on the `Thread` instance.","Security contexts (SecurityContextHolder), transaction contexts, request IDs, database connection binding, and non-thread-safe formatters (SimpleDateFormat).","Eliminates synchronization locks by confining data to single thread | High performance thread-isolated lookups","Catastrophic memory leaks in pooled environments (Tomcat worker threads) if not explicitly removed | ThreadLocalMap uses weak keys but strong values, causing value retention across requests","Always execute `threadLocal.remove()` inside a mandatory `finally` block before yielding the thread back to the container thread pool. On Java 21+, prefer `ScopedValue`.","public static final ThreadLocal<RequestContext> CTX = new ThreadLocal<>();
try {
    CTX.set(new RequestContext(reqId));
    processRequest();
} finally {
    CTX.remove(); // CRITICAL: Prevent pooled thread leak
}","ThreadLocal in pooled thread environments retains values indefinitely unless cleaned up in a finally block. On modern Java 21, prefer ScopedValue."
"card-java-00007","ForkJoinPool & Work-Stealing Algorithm","Java Core & Concurrency","Senior","/technical-knowledge/java/thread-pools-and-connection-pooling","A thread pool designed for recursive divide-and-conquer parallelism. Each worker thread maintains a double-ended queue (deque); when a worker exhausts its own deque, it steals tasks from the tail of another busy worker's deque.","Parallel streams, recursive divide-and-conquer computations, tree traversals, and bulk data transformations.","Maximizes multi-core CPU core utilization | Work-stealing balances uneven workloads dynamically across cores | Minimal lock contention because workers push/pop from their own head","Blocking I/O in the common pool (`ForkJoinPool.commonPool()`) starves all parallel streams JVM-wide | Inefficient for small tasks where task dispatch overhead exceeds compute time","Never execute blocking network or DB I/O on `parallelStream()`. For blocking tasks, construct a custom isolated ForkJoinPool or use Virtual Threads.","ForkJoinPool customPool = new ForkJoinPool(8);
customPool.submit(() -> dataList.parallelStream().map(this::cpuIntensiveTransform).toList()).get();","ForkJoinPool uses deques with work-stealing from tails. Never execute blocking I/O on default parallelStream() because it shares the JVM-wide commonPool."
"card-java-00008","AQS (AbstractQueuedSynchronizer) Internals & Lock Design","Java Core & Concurrency","Staff","/technical-knowledge/java/java-aqs-internals","The foundational synchronization framework in `java.util.concurrent`. It manages a volatile `state` integer manipulated via atomic CAS, alongside a FIFO CLH bi-directional wait queue of parked threads (`LockSupport.park/unpark`).","Custom sync primitives, ReentrantLock, Semaphore, CountDownLatch, and ReentrantReadWriteLock.","Unified, battle-tested lock state machine | Handles fair vs non-fair queue scheduling efficiently","Requires deep understanding of internal node states (SIGNAL, CANCELLED, CONDITION)","Extend `AbstractQueuedSynchronizer` and override `tryAcquire`, `tryRelease`, `tryAcquireShared`, `tryReleaseShared` without calling `super`.","class Mutex extends AbstractQueuedSynchronizer {
    protected boolean tryAcquire(int acquires) {
        return compareAndSetState(0, 1);
    }
    protected boolean tryRelease(int releases) {
        setState(0);
        return true;
    }
}","AQS provides the atomic state + FIFO CLH thread park/unpark queue underlying ReentrantLock, Semaphore, and CountDownLatch."
"card-java-00009","Virtual Threads (Project Loom) — Throughput vs Latency Trade-Off Analysis (Deep Dive #2)","Java Core & Concurrency","Senior","/technical-knowledge/java/java-virtual-threads","Lightweight, user-mode threads managed by the JVM rather than the OS kernel. They decouple Java thread instances from 1:1 OS carrier threads, allowing millions of concurrent tasks to execute on a tiny pool of ForkJoin carrier threads with zero blocking overhead.","High-concurrency I/O-bound workloads (HTTP microservices, database querying, socket streaming, outbound REST/gRPC calls).","Near-infinite concurrency scaling for I/O | Preserves intuitive synchronous imperative code style without reactive callback hell | Seamlessly integrates with existing java.lang.Thread and ThreadLocal APIs","Pinning hazard when synchronizing on monitor locks (`synchronized`) or native JNI calls | Zero performance benefit for CPU-intensive mathematical compute tasks","Use `Executors.newVirtualThreadPerTaskExecutor()`. Replace legacy `synchronized` blocks with `ReentrantLock` to prevent carrier thread pinning. Avoid pooling virtual threads—simply instantiate one per task.","try (var executor = Executors.newVirtualThreadPerTaskExecutor()) {
    IntStream.range(0, 10_000).forEach(i -> executor.submit(() -> {
        var res = httpClient.send(req, HttpResponse.BodyHandlers.ofString());
        return res.body();
    }));
}","Virtual threads convert blocking I/O into cheap unpark operations on ForkJoin carriers. Never pool virtual threads; spawn them per task and use ReentrantLock instead of synchronized."
"card-java-00010","CAS (Compare-And-Swap) & Lock-Free Atomic Primitives — Throughput vs Latency Trade-Off Analysis (Deep Dive #2)","Java Core & Concurrency","Staff","/technical-knowledge/java/java-locks","An atomic hardware instruction (e.g. `CMPXCHG` on x86) that compares a memory location against an expected value, and if identical, modifies it to a new value in a single atomic CPU cycle without operating system mutex kernel transitions.","Ultra-low-latency concurrency primitives, high-throughput counters, atomic reference updates, and non-blocking data structure state machines (e.g. AtomicInteger, ConcurrentLinkedQueue).","Zero kernel-level context switching or thread suspension | Immune to thread priority inversions and deadlock hazards | Maximal throughput under low-to-moderate lock contention","High CPU spin overhead under extreme contention (cache line bouncing) | Vulnerable to the ABA problem unless versioned with AtomicStampedReference","Use `AtomicReference` or `VarHandle`. Pair with exponential backoff or LongAdder for high-frequency multi-threaded counter increments to distribute contention across cache lines.","public class LockFreeStack<T> {
    private final AtomicReference<Node<T>> head = new AtomicReference<>();
    public void push(T val) {
        Node<T> newHead = new Node<>(val);
        do {
            newHead.next = head.get();
        } while (!head.compareAndSet(newHead.next, newHead));
    }
}","CAS replaces heavy kernel mutexes with CPU-level atomic compare-and-exchange. For extreme write contention, prefer LongAdder cell striping over a single AtomicLong."
