id,topic,difficulty,questionText,codeSnippet,buggyLineNumber,optionA,optionB,optionC,optionD,correctOption,explanation,fixSnippet,interviewTip
bug-0001,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #1: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        this.username = username.trim(); // Line 4: Direct 'this' assignment in compact constructor
    }
}",4,"Line 4 causes compilation failure: in compact constructors, modify the parameter 'username = ...' instead of assigning to 'this.username'.",Line 3 causes runtime exception: compact constructors cannot throw unchecked exceptions.,Line 1 is invalid: record parameters cannot be primitive int types.,"Line 2 is missing constructor parameter list (String username, int age).",A,"In a compact record constructor, record fields are implicitly assigned at the end of the constructor block. Direct assignment to `this.username` is forbidden by JLS 8.10.4.2; you must assign to the parameter `username = username.trim();` instead.","public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        username = username.trim(); // Reassign parameter
    }
}",Compact constructors exist to normalize/validate parameters before implicit field assignment happens at the end of the block.
bug-0002,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #2: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"sealed interface Shape permits Circle, Square {}
record Circle(double radius) implements Shape {}
record Square(double side) implements Shape {}

public double calculateArea(Shape shape) {
    return switch (shape) { // Line 6: Missing pattern or default when interface is extended or null handled
        case Circle c -> Math.PI * c.radius() * c.radius();
        // Missing Square case!
    };
}",6,Line 6 fails compilation: switch expression on sealed hierarchy Shape is not exhaustive because 'case Square' is missing.,Line 7 is invalid: arrow syntax cannot return primitive double values.,Line 1 permits clause must include 'Triangle' by default.,Line 6 requires a 'break' statement after each case in switch expressions.,A,"Pattern matching in switch expressions requires exhaustiveness for sealed hierarchies. If any permitted subtype (Square) or null is omitted without a default clause, compilation fails with 'the switch expression does not cover all possible input values'.","return switch (shape) {
    case Circle c -> Math.PI * c.radius() * c.radius();
    case Square s -> s.side() * s.side();
};",Sealed types allow the compiler to verify exhaustiveness at compile-time without needing an unreachable 'default' branch.
bug-0003,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #3: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public String evaluateScore(Object obj) {
    return switch (obj) {
        case String s -> ""Generic String""; // Line 3: Dominates guarded pattern below!
        case String s when s.length() > 10 -> ""Long String""; // Line 4: Unreachable code
        default -> ""Other"";
    };
}",4,Line 4 fails compilation because it is dominated by Line 3; more specific guarded patterns ('when') must appear before unguarded patterns.,Line 4 is invalid because 'when' keyword is only allowed in SQL queries.,Line 3 fails because 'Object' cannot be switched with String cases.,Line 5 default branch is not allowed when Object is the switch target.,A,"In Java 21 pattern matching, cases are evaluated in top-to-bottom order. An unguarded `case String s` matches all strings and dominates the subsequent guarded `case String s when ...`, causing an unreachable code compilation error.","return switch (obj) {
    case String s when s.length() > 10 -> ""Long String"";
    case String s -> ""Generic String"";
    default -> ""Other"";
};",Always place guarded patterns with 'when' before broader unguarded patterns to prevent compiler dominance errors.
bug-0004,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #4: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record Account(String iban, double balance) {
    private double balance; // Line 2: Illegal instance field in record

    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}",2,Line 2 fails compilation: records cannot declare explicit instance fields; all state must be in the record header.,Line 4 causes runtime exception: balance check cannot be performed in compact constructor.,Line 1 requires 'implements Serializable' for record definitions.,Line 1 record header cannot have double precision types.,A,Records in Java 21 are immutable data carriers whose instance fields are generated automatically by the compiler. Explicitly declaring instance variables (Line 2) violates JLS 8.10.1. Only static fields are allowed.,"public record Account(String iban, double balance) {
    // No instance fields allowed!
    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}","Records only allow static constants `private static final int MAX = 100;`, never instance fields."
bug-0005,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #5: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        this.username = username.trim(); // Line 4: Direct 'this' assignment in compact constructor
    }
}",4,"Line 4 causes compilation failure: in compact constructors, modify the parameter 'username = ...' instead of assigning to 'this.username'.",Line 3 causes runtime exception: compact constructors cannot throw unchecked exceptions.,Line 1 is invalid: record parameters cannot be primitive int types.,"Line 2 is missing constructor parameter list (String username, int age).",A,"In a compact record constructor, record fields are implicitly assigned at the end of the constructor block. Direct assignment to `this.username` is forbidden by JLS 8.10.4.2; you must assign to the parameter `username = username.trim();` instead.","public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        username = username.trim(); // Reassign parameter
    }
}",Compact constructors exist to normalize/validate parameters before implicit field assignment happens at the end of the block.
bug-0006,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #6: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"sealed interface Shape permits Circle, Square {}
record Circle(double radius) implements Shape {}
record Square(double side) implements Shape {}

public double calculateArea(Shape shape) {
    return switch (shape) { // Line 6: Missing pattern or default when interface is extended or null handled
        case Circle c -> Math.PI * c.radius() * c.radius();
        // Missing Square case!
    };
}",6,Line 6 fails compilation: switch expression on sealed hierarchy Shape is not exhaustive because 'case Square' is missing.,Line 7 is invalid: arrow syntax cannot return primitive double values.,Line 1 permits clause must include 'Triangle' by default.,Line 6 requires a 'break' statement after each case in switch expressions.,A,"Pattern matching in switch expressions requires exhaustiveness for sealed hierarchies. If any permitted subtype (Square) or null is omitted without a default clause, compilation fails with 'the switch expression does not cover all possible input values'.","return switch (shape) {
    case Circle c -> Math.PI * c.radius() * c.radius();
    case Square s -> s.side() * s.side();
};",Sealed types allow the compiler to verify exhaustiveness at compile-time without needing an unreachable 'default' branch.
bug-0007,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #7: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public String evaluateScore(Object obj) {
    return switch (obj) {
        case String s -> ""Generic String""; // Line 3: Dominates guarded pattern below!
        case String s when s.length() > 10 -> ""Long String""; // Line 4: Unreachable code
        default -> ""Other"";
    };
}",4,Line 4 fails compilation because it is dominated by Line 3; more specific guarded patterns ('when') must appear before unguarded patterns.,Line 4 is invalid because 'when' keyword is only allowed in SQL queries.,Line 3 fails because 'Object' cannot be switched with String cases.,Line 5 default branch is not allowed when Object is the switch target.,A,"In Java 21 pattern matching, cases are evaluated in top-to-bottom order. An unguarded `case String s` matches all strings and dominates the subsequent guarded `case String s when ...`, causing an unreachable code compilation error.","return switch (obj) {
    case String s when s.length() > 10 -> ""Long String"";
    case String s -> ""Generic String"";
    default -> ""Other"";
};",Always place guarded patterns with 'when' before broader unguarded patterns to prevent compiler dominance errors.
bug-0008,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #8: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record Account(String iban, double balance) {
    private double balance; // Line 2: Illegal instance field in record

    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}",2,Line 2 fails compilation: records cannot declare explicit instance fields; all state must be in the record header.,Line 4 causes runtime exception: balance check cannot be performed in compact constructor.,Line 1 requires 'implements Serializable' for record definitions.,Line 1 record header cannot have double precision types.,A,Records in Java 21 are immutable data carriers whose instance fields are generated automatically by the compiler. Explicitly declaring instance variables (Line 2) violates JLS 8.10.1. Only static fields are allowed.,"public record Account(String iban, double balance) {
    // No instance fields allowed!
    public Account {
        if (balance < 0) throw new IllegalArgumentException();
    }
}","Records only allow static constants `private static final int MAX = 100;`, never instance fields."
bug-0009,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #9: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        this.username = username.trim(); // Line 4: Direct 'this' assignment in compact constructor
    }
}",4,"Line 4 causes compilation failure: in compact constructors, modify the parameter 'username = ...' instead of assigning to 'this.username'.",Line 3 causes runtime exception: compact constructors cannot throw unchecked exceptions.,Line 1 is invalid: record parameters cannot be primitive int types.,"Line 2 is missing constructor parameter list (String username, int age).",A,"In a compact record constructor, record fields are implicitly assigned at the end of the constructor block. Direct assignment to `this.username` is forbidden by JLS 8.10.4.2; you must assign to the parameter `username = username.trim();` instead.","public record UserDto(String username, int age) {
    public UserDto {
        if (age < 0) throw new IllegalArgumentException();
        username = username.trim(); // Reassign parameter
    }
}",Compact constructors exist to normalize/validate parameters before implicit field assignment happens at the end of the block.
bug-0010,OCP Java 21 - Records & Pattern Matching,Senior,Production Incident #10: Spot the defective line in the following OCP Java 21 - Records & Pattern Matching implementation.,"sealed interface Shape permits Circle, Square {}
record Circle(double radius) implements Shape {}
record Square(double side) implements Shape {}

public double calculateArea(Shape shape) {
    return switch (shape) { // Line 6: Missing pattern or default when interface is extended or null handled
        case Circle c -> Math.PI * c.radius() * c.radius();
        // Missing Square case!
    };
}",6,Line 6 fails compilation: switch expression on sealed hierarchy Shape is not exhaustive because 'case Square' is missing.,Line 7 is invalid: arrow syntax cannot return primitive double values.,Line 1 permits clause must include 'Triangle' by default.,Line 6 requires a 'break' statement after each case in switch expressions.,A,"Pattern matching in switch expressions requires exhaustiveness for sealed hierarchies. If any permitted subtype (Square) or null is omitted without a default clause, compilation fails with 'the switch expression does not cover all possible input values'.","return switch (shape) {
    case Circle c -> Math.PI * c.radius() * c.radius();
    case Square s -> s.side() * s.side();
};",Sealed types allow the compiler to verify exhaustiveness at compile-time without needing an unreachable 'default' branch.
