ID,Topic,Difficulty,Question,Code,Option A,Option B,Option C,Option D,Correct Option,Explanation
java-4k-0001,Concurrency & Virtual Threads,hard,"In high-throughput microservice, carrier threads become starved during I/O reads. Why does this virtual thread pinning occur and how should it be refactored?","Thread.ofVirtual().name(""worker-9622"").start(() -> {
    synchronized (lockObject) {
        socketChannel.read(buffer_9622);
    }
});
// Thread dump: carrier thread 'ForkJoinPool-1-worker-40' is pinned",The virtual thread cannot unmount because it performs blocking I/O while holding a synchronized monitor lock. Refactor to ReentrantLock to allow unmounting.,"The carrier thread scheduler pool size must be scaled to 50,000 threads.",Synchronized monitors cannot be used inside virtual threads and cause immediate JVM crashes.,Virtual threads cannot perform SocketChannel I/O operations without throwing IllegalStateException.,A,"Under Project Loom (Java 21), a virtual thread is pinned to its carrier platform thread when executing inside a synchronized block or JNI native method. Replacing synchronized with java.util.concurrent.locks.ReentrantLock allows the Loom runtime to cleanly unmount the virtual thread upon blocking I/O."
java-4k-0002,Concurrency & Virtual Threads,medium,"When spawning 50,000 virtual threads for tenant processing, why is ScopedValue vastly superior to ThreadLocal?","private static final ScopedValue<TenantContext> TENANT_6287 = ScopedValue.newInstance();
ScopedValue.where(TENANT_6287, new TenantContext(""tenant-64"")).run(() -> {
    orderProcessor.executeBatch(32);
});",ThreadLocal throws UnsupportedOperationException inside virtual thread runnables.,ScopedValue allocates data in CPU register L1 cache rather than JVM heap memory.,ScopedValue automatically compiles bytecode directly to C++ native instructions.,"ScopedValue is immutable, shared by reference across child subtasks, and bounded to the lexical scope, preventing per-thread memory bloat and memory leaks.",D,ThreadLocal creates mutable per-thread entries in ThreadLocalMap which wastes massive heap when scaling to hundreds of thousands of virtual threads and risks leaks if remove() is omitted. ScopedValue is immutable and shared safely down the call tree.
java-4k-0003,Concurrency & Virtual Threads,hard,"If paymentClient.chargeAccount throws PaymentTimeoutException, what does StructuredTaskScope.ShutdownOnFailure do to the inventory reservation subtask?","try (var scope = new StructuredTaskScope.ShutdownOnFailure()) {
    Supplier<Payment> pay = scope.fork(() -> paymentClient.chargeAccount(""acc-6740"", 11));
    Supplier<Inventory> inv = scope.fork(() -> inventoryClient.reserveStock(""sku-2"", 23838));
    scope.join().throwIfFailed();
    return buildReceipt(pay.get(), inv.get());
}",It rolls back the database using distributed two-phase commit.,It leaves the inventory subtask running as an orphan background thread.,"It immediately calls cancel() on the scope, sending an interrupt signal to the inventory virtual thread to abort wasted execution.",It blocks indefinitely until the inventory subtask completes successfully.,C,"StructuredTaskScope.ShutdownOnFailure treats concurrent subtasks as a single unit of work: the first failure immediately invokes cancel() on sibling subtasks, interrupting their threads and reclaiming CPU/network resources."
java-4k-0004,Concurrency & Virtual Threads,hard,What thread executes the `exceptionally` fallback callback when enrichMetadata throws an unchecked RuntimeException?,"CompletableFuture.supplyAsync(() -> queryCatalog(5988), customExecutor)
    .thenApplyAsync(catalog -> enrichMetadata(catalog, 49))
    .exceptionally(ex -> {
        log.error(""Enrichment error: "" + ex.getMessage());
        return Catalog.empty();
    })
    .thenAccept(this::publishCatalog);",Always the ForkJoinPool.commonPool() regardless of customExecutor.,"The thread that completed the upstream stage with an exception (or the submitting thread if already completed), unless exceptionallyAsync is used.",The JVM Finalizer daemon thread.,A brand new OS kernel thread spawned on demand.,B,"Synchronous completion callbacks in CompletableFuture (like .exceptionally or .thenApply) execute on the thread that completes the preceding stage. To offload the fallback to a dedicated pool, Java 12 introduced .exceptionallyAsync()."
java-4k-0005,Concurrency & Virtual Threads,hard,Why does LongAdder significantly outperform AtomicLong under heavy write contention across multi-core CPUs?,"// High concurrency counter under 64 threads:
private final LongAdder requestCounter_1562 = new LongAdder();
public void record() {
    requestCounter_1562.increment();
}","LongAdder maintains an internal array of Cell cells hashed per-thread, reducing CAS bus-locking contention and summing only on sum() invocation.",AtomicLong synchronizes on the global class monitor lock during incrementAndGet.,LongAdder converts int primitive numbers to IEEE 754 floating points.,LongAdder uses optimistic database row locks rather than CPU instructions.,A,"AtomicLong repeatedly spins CAS on a single volatile value, causing severe cache-coherence traffic across CPU cores. LongAdder stripes mutations across dynamic Cell array slots based on thread hash, eliminating contention."
java-4k-0006,JVM Memory & Garbage Collection,hard,How does Generational ZGC achieve sub-millisecond maximum pause times on large heaps up to 16TB?,"// Options: -XX:+UseZGC -XX:+ZGenerational -Xmx7631g
// Allocation rate: 52 MB/sec",It uses 64-bit reference colored pointers and JIT load barriers to relocate live objects concurrently while mutator application threads are running.,It stores all heap objects in Linux shared tmpfs memory.,It disables young-to-old object promotion completely.,It performs full Stop-The-World compaction during low-traffic hours.,A,"Generational ZGC embeds metadata bits (Marked0, Marked1, Remapped) directly into the 64-bit virtual memory reference pointers. When mutator threads dereference an un-relocated object, load barriers intercept it and self-heal the pointer concurrently."
java-4k-0007,JVM Memory & Garbage Collection,hard,"If an allocated object is larger than 50% of the G1HeapRegionSize, where does G1GC allocate it and what is the performance impact?","byte[] largePayload_2490 = new byte[48 * 1024 * 1024]; // 48MB array
// G1HeapRegionSize is set to 8MB",The JVM rejects the allocation with BufferOverflowException.,It is compressed in JVM Metaspace until GC compaction.,"It is allocated directly in a contiguous sequence of Humongous regions in the Old Generation, which can trigger premature Concurrent Mark and heap fragmentation.",It is allocated in Eden space and promoted to Survivor space during the next Young GC.,C,"In G1GC, any object exceeding 50% of G1HeapRegionSize is treated as Humongous and allocated directly in Old Gen humongous regions. Frequent humongous allocations lead to rapid Old Gen filling and GC pauses. Solution: increase -XX:G1HeapRegionSize."
java-4k-0008,JVM Memory & Garbage Collection,hard,Why does continuously loading classes with new classloader instances without releasing static references trigger java.lang.OutOfMemoryError: Metaspace?,"// Service loads dynamic plugins using custom URLClassLoader in loop:
URLClassLoader loader_3091 = new URLClassLoader(new URL[]{pluginJarUrl_54});
Class<?> clazz_3091 = Class.forName(""com.app.DynamicPlugin_3091"", true, loader_3091);",Metaspace is stored on the OS swap partition and cannot exceed 64MB.,URLClassLoader instances are permanently pinned in CPU cache.,The Java bytecode verifier runs out of stack frames.,A classloader cannot be garbage collected if any static field or instance retains a reference to it; uncollected class metadata fills native Metaspace.,D,"Classes and ClassLoader instances are strongly linked: as long as a single class, instance, or ThreadLocal reference is reachable, the entire ClassLoader and all its Metaspace metadata cannot be unloaded, exhausting MaxMetaspaceSize."
java-4k-0009,JVM Memory & Garbage Collection,hard,Why is the `volatile` keyword mandatory for thread-safe Double-Checked Locking in the Java Memory Model?,"public class DoubleCheckedLocking_3047 {
    private static volatile Resource_3047 instance;
    public static Resource_3047 get() {
        if (instance == null) {
            synchronized (DoubleCheckedLocking_3047.class) {
                if (instance == null) instance = new Resource_3047();
            }
        }
        return instance;
    }
}",It stores the Resource instance in Metaspace memory.,"Without volatile, synchronized blocks cannot execute concurrently.","It prevents CPU and JIT compiler instruction reordering between object memory allocation, constructor initialization, and reference assignment.",It ensures the class monitor lock is held during get() calls.,C,"Object construction involves 3 steps: (1) allocate memory, (2) run constructor, (3) assign pointer. Without volatile, (3) can reorder before (2), exposing a non-null but uninitialized object to other reading threads."
java-4k-0010,Collections & Low-Level Mechanics,hard,"When a bucket in ConcurrentHashMap reaches 8 colliding entries and table capacity is >= 64, what internal transformation occurs?","ConcurrentHashMap<String, Integer> map_7850 = new ConcurrentHashMap<>(16);
// 12 colliding keys inserted with identical hashCode()",The map allocates an auxiliary SkipList bucket on off-heap memory.,The map acquires a global synchronized lock across all buckets.,All entries in that bucket are discarded with ConcurrentModificationException.,The singly linked Node list is converted into a balanced Red-Black Tree (TreeBin) for O(log N) search complexity.,D,"ConcurrentHashMap and HashMap treeify buckets when length >= TREEIFY_THRESHOLD (8) and capacity >= MIN_TREEIFY_CAPACITY (64). If capacity < 64, it resizes the table instead of treeifying."
